aten_id,aten_id2,evalue,saccver,method,kegg,has_signal,pfam,Entry,Status,Protein names,Gene names,Organism,Length,Organism ID,EC number,Gene ontology IDs,Cross-reference (KEGG),Cross-reference (GeneID),Ensembl transcript,Cross-reference (eggNOG),Cross-reference (KO),Cross-reference (OrthoDB),Cross-reference (BioCyc),Cross-reference (BRENDA),Cross-reference (Reactome),ipr_go
aten_0.1.m1.1839.m1,aten_0.1.m1.1839,0,HELQ_MOUSE,blastp,K19178,NA,PF00271.30;PF00270.28;PF04851.14;PF14520.5;PF14229.5;PF10391.8,Q2VPA6,reviewed,Helicase POLQ-like (EC 3.6.4.12) (Mus308-like helicase) (POLQ-like helicase),Helq Hel308,Mus musculus (Mouse),1069,10090,3.6.4.12,GO:0000724; GO:0003677; GO:0005524; GO:0006259; GO:0017116; GO:0017117,mmu:191578;,191578;,ENSMUST00000044684 [Q2VPA6-1];,KOG0950;COG1204;,K19178;,179246at2759;,NA,NA,NA,GO:0003676;GO:0005524
aten_0.1.m1.3884.m1,aten_0.1.m1.3884,2.92E-58,DTX3_PONAB,blastp,K06058,NA,PF01661.20;PF13639.5;PF13445.5;PF13923.5;PF00097.24;PF14634.5;PF13920.5;PF00643.23;PF15227.5;PF12678.6;PF14835.5;PF03448.16;PF03357.20;PF17123.4,Q5REG4,reviewed,Probable E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING-type E3 ubiquitin transferase DTX3),DTX3,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),347,9601,2.3.2.27,GO:0005737; GO:0007219; GO:0016567; GO:0016740; GO:0046872,pon:100171717;,100171717;,NA,ENOG410II0N;ENOG410Z2TC;,K06058;,143182at2759;,NA,NA,NA,GO:0008270;GO:0007219;GO:0016567
aten_0.1.m1.10697.m1,aten_0.1.m1.10697,0,PRP39_HUMAN,blastp,K13217,NA,PF13428.5;PF05843.13;PF08424.9;PF14559.5;PF07719.16;PF13181.5;PF13174.5;PF02184.15;PF08311.11,Q86UA1,reviewed,Pre-mRNA-processing factor 39 (PRP39 homolog),PRPF39,Homo sapiens (Human),669,9606,NA,GO:0000243; GO:0000395; GO:0005685; GO:0071004,hsa:55015;,55015;,ENST00000355765 [Q86UA1-1];,KOG1258;ENOG410XPVR;,K13217;,887474at2759;,NA,NA,NA,GO:0005515;GO:0005634;GO:0006397;GO:0006396
aten_0.1.m1.21714.m1,aten_0.1.m1.21714,9.12E-11,ZMYM1_HUMAN,blastp,NA,NA,NA,Q5SVZ6,reviewed,Zinc finger MYM-type protein 1,ZMYM1,Homo sapiens (Human),1142,9606,NA,GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0022604; GO:0046983,hsa:79830;,79830;,ENST00000359858;ENST00000373330;ENST00000611874;ENST00000650449;,ENOG410IXK1;ENOG410XQ1Y;,NA,537563at2759;,NA,NA,NA,
aten_0.1.m1.11812.m1,aten_0.1.m1.11812,0,TTC28_HUMAN,blastp,NA,NA,PF13424.5;PF13176.5;PF00515.27;PF13181.5;PF13374.5;PF07719.16;PF12770.6;PF10579.8;PF13432.5;PF13428.5;PF13431.5;PF13174.5;PF13371.5;PF13429.5;PF13414.5;PF07720.11;PF07721.13;PF14559.5;PF14938.5;PF11192.7;PF00995.22;PF01535.19;PF10516.8;PF12968.6;PF01261.23;PF17140.3;PF12895.6;PF03114.17;PF14129.5;PF10255.8;PF08238.11;PF10602.8,Q96AY4,reviewed,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),TTC28 KIAA1043 TPRBK,Homo sapiens (Human),2481,9606,NA,GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686,hsa:23331;,23331;,ENST00000397906;,KOG0548;KOG1130;COG0457;COG4995;ENOG410XP6N;,NA,733786at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.20275.m1,aten_0.1.m1.20275,1.46E-12,MENG_DESHY,blastp,NA,NA,PF08241.11;PF13649.5;PF13847.5;PF01209.17;PF08242.11;PF13489.5;PF01135.18;PF06325.12;PF10294.8;PF08704.9;PF02353.19;PF00398.19;PF01795.18;PF08003.10;PF01728.18;PF05175.13;PF08123.12;PF01170.17;PF01269.16,Q24W96,reviewed,Demethylmenaquinone methyltransferase (EC 2.1.1.163),menG DSY1907,Desulfitobacterium hafniense (strain Y51),253,138119,2.1.1.163,GO:0009234; GO:0102955,dsy:DSY1907;,NA,NA,ENOG4105DDZ;COG2226;,K03183;,1431378at2;,DHAF138119:G1G2E-2067-MONOMER;,NA,NA,GO:0008168
aten_0.1.m1.25172.m1,aten_0.1.m1.25172,1.10E-46,PIM1_BOVIN,blastp,NA,NA,PF00069.24;PF07714.16;PF01636.22;PF06293.13,Q9N0P9,reviewed,Serine/threonine-protein kinase pim-1 (EC 2.7.11.1),PIM1,Bos taurus (Bovine),313,9913,2.7.11.1,GO:0004674; GO:0005524; GO:0005730; GO:0005737; GO:0005829; GO:0006915; GO:0007049; GO:0008134; GO:0008283; GO:0030145; GO:0043024; GO:0043066; GO:0043433; GO:0045893; GO:0046777; GO:0050821; GO:0060045; GO:0070561; GO:1902033; GO:1905062,bta:281402;,281402;,ENSBTAT00000000511;,KOG0583;COG0515;,K04702;,930292at2759;,NA,NA,NA,GO:0004674;GO:0006468;GO:0043066;GO:0004672;GO:0005524
aten_0.1.m1.31466.m1,aten_0.1.m1.31466,5.23E-25,NELFE_DROVI,blastp,K15182,NA,PF00076.21;PF13893.5;PF08777.10;PF08952.10,Q95ZE9,reviewed,Negative elongation factor E,Nelf-E anon-66Da CG5994,Drosophila virilis (Fruit fly),281,7244,NA,GO:0000122; GO:0003723; GO:0005694; GO:0017053; GO:0032021,NA,NA,NA,ENOG410IK4K;ENOG41101UX;,NA,NA,NA,NA,NA,GO:0006355;GO:0032021;GO:0003676
aten_0.1.m1.4608.m1,aten_0.1.m1.4608,5.23E-31,MCFD2_PONAB,blastp,K20364,YES,PF13499.5;PF13405.5;PF00036.31;PF13833.5;PF13202.5;PF15101.5;PF12763.6,Q5R8Z6,reviewed,Multiple coagulation factor deficiency protein 2 homolog,MCFD2,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),146,9601,NA,GO:0005509; GO:0005783; GO:0005793; GO:0005794; GO:0015031; GO:0016192,pon:100174341;,100174341;,NA,KOG4065;ENOG41124J6;,K20364;,1601131at2759;,NA,NA,NA,GO:0005509
aten_0.1.m1.23287.m1,aten_0.1.m1.23287,3.00E-74,MLEC_RAT,blastp,NA,YES,PF11721.7,Q5FVQ4,reviewed,Malectin,Mlec,Rattus norvegicus (Rat),291,10116,NA,GO:0005783; GO:0005789; GO:0005975; GO:0016021; GO:0030246,rno:304543;,304543;,ENSRNOT00000038395;,KOG3593;ENOG410XNU5;,NA,1057965at2759;,NA,NA,R-RNO-6798695;,GO:0030246
aten_0.1.m1.21497.m1,aten_0.1.m1.21497,4.26E-19,CDIP1_DICDI,blastp,NA,NA,PF10601.8,Q54HX8,reviewed,Cell death-inducing p53-target protein 1 homolog (Protein LITAF homolog),litaf DDB_G0289149,Dictyostelium discoideum (Slime mold),181,44689,NA,GO:0005765; GO:0031902; GO:0046872,ddi:DDB_G0289149;,8626986;,NA,ENOG410IVVU;ENOG41122PJ;,NA,NA,NA,NA,NA,
aten_0.1.m1.2588.m1,aten_0.1.m1.2588,0,VPS16_MOUSE,blastp,K20180,NA,PF04841.12;PF04840.11;PF12894.6;PF17587.1,Q920Q4,reviewed,Vacuolar protein sorting-associated protein 16 homolog (mVPS16),Vps16,Mus musculus (Mouse),839,10090,NA,GO:0003779; GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005776; GO:0005884; GO:0006886; GO:0007033; GO:0008333; GO:0016197; GO:0030136; GO:0030424; GO:0030897; GO:0031901; GO:0031902; GO:0032889; GO:0033263; GO:0035542; GO:0043025; GO:0046718; GO:0051015; GO:0055037; GO:0097352,NA,NA,NA,KOG2280;ENOG410XQ8X;,NA,NA,NA,NA,NA,GO:0005737;GO:0006886;GO:0005515;GO:0007033
aten_0.1.m1.2578.m1,aten_0.1.m1.2578,1.24E-45,SEM5A_HUMAN,blastp,NA,NA,PF01403.18;PF01437.24;PF01508.15;PF00050.20,Q13591,reviewed,Semaphorin-5A (Semaphorin-F) (Sema F),SEMA5A SEMAF,Homo sapiens (Human),1074,9606,NA,GO:0001755; GO:0001938; GO:0002043; GO:0005886; GO:0007155; GO:0007162; GO:0007267; GO:0007399; GO:0007413; GO:0016020; GO:0016021; GO:0021536; GO:0030215; GO:0030335; GO:0030836; GO:0035373; GO:0043395; GO:0045499; GO:0045545; GO:0045766; GO:0048842; GO:0048843; GO:0050918; GO:0051897; GO:0060326; GO:0070062; GO:0071526; GO:0090263; GO:1990256; GO:2000352; GO:2001028,hsa:9037;,9037;,ENST00000382496;,KOG3611;ENOG410XQZC;,K06841;,64683at2759;,NA,NA,R-HSA-416700;R-HSA-5083635;R-HSA-5173214;,GO:0030215;GO:0005515
aten_0.1.m1.3803.m1,aten_0.1.m1.3803,0,PCKGM_HUMAN,blastp,K01596,NA,PF00821.17;PF17297.1,Q16822,reviewed,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)",PCK2 PEPCK2,Homo sapiens (Human),640,9606,4.1.1.32,GO:0004611; GO:0004613; GO:0005525; GO:0005739; GO:0005759; GO:0005829; GO:0006090; GO:0006094; GO:0019543; GO:0030145; GO:0032869; GO:0033993; GO:0042594; GO:0046327; GO:0070365; GO:0071333; GO:0071549,hsa:5106;,5106;,ENST00000216780 [Q16822-1];ENST00000396973 [Q16822-2];ENST00000545054 [Q16822-3];ENST00000561286 [Q16822-3];ENST00000644679 [Q16822-3];ENST00000645217 [Q16822-1];ENST00000645536 [Q16822-3];ENST00000645709 [Q16822-2];,KOG3749;COG1274;,K01596;,1042425at2759;,MetaCyc:HS02160-MONOMER;,NA,R-HSA-70263;,GO:0004611;GO:0006094;GO:0017076;GO:0004613;GO:0005525
aten_0.1.m1.26542.m1,aten_0.1.m1.26542,9.43E-16,MARH8_HUMAN,blastp,NA,NA,PF12906.6;PF10513.8;PF05625.10;PF03486.13;PF13920.5;PF16015.4;PF06097.10,Q5T0T0,reviewed,E3 ubiquitin-protein ligase MARCH8 (EC 2.3.2.27) (Cellular modulator of immune recognition) (c-MIR) (Membrane-associated RING finger protein 8) (Membrane-associated RING-CH protein VIII) (MARCH-VIII) (RING finger protein 178) (RING-type E3 ubiquitin transferase MARCH8),MARCH8 MIR RNF178,Homo sapiens (Human),291,9606,2.3.2.27,GO:0000209; GO:0002250; GO:0004842; GO:0005764; GO:0005765; GO:0005768; GO:0008270; GO:0016021; GO:0030659; GO:0031901,hsa:220972;,220972;,ENST00000319836 [Q5T0T0-1];ENST00000395769 [Q5T0T0-1];ENST00000395771;ENST00000453424 [Q5T0T0-2];,KOG1609;COG5183;,K10656;,1222747at2759;,NA,NA,NA,GO:0008270
aten_0.1.m1.6915.m1,aten_0.1.m1.6915,8.87E-08,TNR19_HUMAN,blastp,NA,YES,PF00020.17;PF15102.5;PF07699.12;PF14610.5;PF11921.7,Q9NS68,reviewed,Tumor necrosis factor receptor superfamily member 19 (TRADE) (Toxicity and JNK inducer),TNFRSF19 TAJ TROY UNQ1888/PRO4333,Homo sapiens (Human),423,9606,NA,GO:0001942; GO:0005031; GO:0005886; GO:0006915; GO:0007254; GO:0016021; GO:0038023; GO:0043123; GO:0046330,hsa:55504;,55504;,ENST00000248484 [Q9NS68-2];ENST00000382258 [Q9NS68-1];ENST00000382263 [Q9NS68-2];ENST00000403372 [Q9NS68-3];,ENOG410IFRK;ENOG410ZU96;,K05155;,672843at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.5965.m1,aten_0.1.m1.5965,1.04E-47,GBP7_HUMAN,blastp,K20899,NA,PF02263.18;PF02841.13;PF03993.11,Q8N8V2,reviewed,Guanylate-binding protein 7 (GTP-binding protein 7) (GBP-7) (Guanine nucleotide-binding protein 7) (Guanylate-binding protein 4-like),GBP7 GBP4L,Homo sapiens (Human),638,9606,NA,GO:0003924; GO:0005525; GO:0016020,hsa:388646;,388646;,ENST00000294671;,KOG2037;ENOG410XR6Z;,K20899;,1027269at2759;,NA,NA,R-HSA-877300;,GO:0003924;GO:0005525
aten_0.1.m1.19719.m1,aten_0.1.m1.19719,4.54E-23,SVEP1_RAT,blastp,NA,YES,PF00754.24;PF00084.19;PF00090.18,P0C6B8,reviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Svep1,Rattus norvegicus (Rat),3564,10116,NA,GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020,NA,NA,NA,KOG1217;KOG4297;ENOG410XPJ1;,NA,NA,NA,NA,NA,
aten_0.1.m1.4232.m1,aten_0.1.m1.4232,2.64E-113,AHSA1_MOUSE,blastp,NA,NA,PF09229.10;PF08327.10;PF17528.1,Q8BK64,reviewed,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1),Ahsa1,Mus musculus (Mouse),338,10090,NA,GO:0001671; GO:0005737; GO:0005783; GO:0005829; GO:0006457; GO:0032781; GO:0051087; GO:0051879,mmu:217737;,217737;,ENSMUST00000021425;,KOG2936;COG5580;,NA,1548191at2759;,NA,NA,NA,GO:0001671;GO:0051087;GO:0051879
aten_0.1.m1.17419.m1,aten_0.1.m1.17419,6.24E-41,MSPD2_MOUSE,blastp,NA,NA,PF00650.19;PF00635.25;PF02353.19,Q9CWP6,reviewed,Motile sperm domain-containing protein 2,Mospd2,Mus musculus (Mouse),518,10090,NA,GO:0005887; GO:0006935; GO:0090023; GO:0090026,mmu:76763;,76763;,ENSMUST00000112247 [Q9CWP6-2];ENSMUST00000112248 [Q9CWP6-3];,KOG1470;ENOG410Y3Q0;,NA,457524at2759;,NA,NA,R-MMU-6798695;,
aten_0.1.m1.20774.m1,aten_0.1.m1.20774,6.86E-22,DUSTY_TAKRU,blastp,NA,NA,PF00350.22;PF01926.22;PF00069.24;PF08477.12;PF01580.17;PF04548.15;PF03193.15;PF00071.21;PF09439.9;PF05049.12;PF10909.7,Q4VSN2,reviewed,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),dstyk ripk5,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),921,31033,2.7.12.1,GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005737; GO:0016323; GO:0016324; GO:0030054; GO:0048568,tru:445996;,445996;,ENSTRUT00000023611 [Q4VSN2-1];ENSTRUT00000023615 [Q4VSN2-2];,KOG0192;COG0515;,K16288;,254886at2759;,NA,NA,NA,
aten_0.1.m1.14054.m1,aten_0.1.m1.14054,5.32E-27,MED19_AEDAE,blastp,K15137,NA,PF10278.8;PF15794.4,Q174D3,reviewed,Mediator of RNA polymerase II transcription subunit 19 (Mediator complex subunit 19),MED19 AAEL006934,Aedes aegypti (Yellowfever mosquito) (Culex aegypti),253,7159,NA,GO:0003712; GO:0006357; GO:0016592,aag:5568522;,5568522;,NA,KOG4043;ENOG4111KKA;,K15137;,1484317at2759;,NA,NA,NA,GO:0003712;GO:0006357;GO:0016592
aten_0.1.m1.25842.m1,aten_0.1.m1.25842,4.45E-144,TPC13_XENTR,blastp,K20310,NA,PF06159.12;PF12735.6;PF00927.21,Q0VFT9,reviewed,Trafficking protein particle complex subunit 13,trappc13,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),412,8364,NA,NA,xtr:549181;,549181;,ENSXETT00000000958;,KOG2625;ENOG410XSJK;,K20310;,1608721at2759;,NA,NA,R-XTR-8876198;,
aten_0.1.m1.692.m1,aten_0.1.m1.692,1.24E-128,PAHX_RAT,blastp,K00477,NA,PF05721.12;PF07350.11,P57093,reviewed,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",Phyh,Rattus norvegicus (Rat),338,10116,1.14.11.18,GO:0001561; GO:0005739; GO:0005777; GO:0006103; GO:0006720; GO:0008198; GO:0019606; GO:0031418; GO:0048244; GO:0097089,rno:114209;,114209;,ENSRNOT00000024362;,ENOG410IPBI;COG5285;,K00477;,623398at2759;,MetaCyc:MONOMER-17703;,NA,R-RNO-389599;R-RNO-9033241;,
aten_0.1.m1.17349.m1,aten_0.1.m1.17349,3.64E-87,RAB9A_HUMAN,blastp,K07899,NA,PF00071.21;PF08477.12;PF00025.20;PF01926.22;PF03193.15;PF00009.26;PF04670.11;PF02421.17;PF01637.17;PF13191.5;PF00503.19;PF13401.5;PF00735.17;PF04548.15;PF00005.26;PF05729.11,P51151,reviewed,Ras-related protein Rab-9A,RAB9A RAB9,Homo sapiens (Human),201,9606,NA,GO:0003924; GO:0005525; GO:0005764; GO:0005770; GO:0005789; GO:0005829; GO:0005886; GO:0006886; GO:0019003; GO:0030133; GO:0030670; GO:0032482; GO:0032588; GO:0032880; GO:0042147; GO:0042470; GO:0042802; GO:0045335; GO:0045921; GO:0052405; GO:0070062,hsa:9367;,9367;,ENST00000464506;ENST00000618931;,KOG0394;ENOG410XNZV;,K07899;,1172019at2759;,NA,NA,R-HSA-6811440;R-HSA-8873719;R-HSA-8876198;,GO:0003924;GO:0005525
aten_0.1.m1.17533.m1,aten_0.1.m1.17533,1.98E-168,KLH20_MOUSE,blastp,NA,NA,PF01344.24;PF13964.5;PF07707.14;PF00651.30;PF13415.5;PF13418.5;PF07646.14;PF13854.5,Q8VCK5,reviewed,Kelch-like protein 20 (Kelch-like ECT2-interacting protein),Klhl20 Kiaa4210 Kleip,Mus musculus (Mouse),604,10090,NA,GO:0003779; GO:0004842; GO:0005737; GO:0005794; GO:0005802; GO:0005829; GO:0006895; GO:0015031; GO:0016567; GO:0016605; GO:0019964; GO:0030424; GO:0030425; GO:0031463; GO:0043066; GO:0043161; GO:0048471; GO:1990390,mmu:226541;,226541;,ENSMUST00000111611;ENSMUST00000117467;,KOG4441;ENOG410XNX8;,K10457;,731760at2759;,NA,NA,R-MMU-8951664;R-MMU-983168;,GO:0005515
aten_0.1.m1.1927.m1,aten_0.1.m1.1927,2.09E-56,GLT11_HUMAN,blastp,NA,NA,PF00535.25;PF11483.7,Q8NCW6,reviewed,Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11),GALNT11,Homo sapiens (Human),608,9606,2.4.1.41,GO:0000139; GO:0004653; GO:0005112; GO:0005794; GO:0007220; GO:0007368; GO:0008593; GO:0016021; GO:0016266; GO:0018243; GO:0030246; GO:0046872; GO:0060271; GO:0061314,hsa:63917;,63917;,ENST00000415421 [Q8NCW6-2];ENST00000422997 [Q8NCW6-2];ENST00000430044 [Q8NCW6-1];ENST00000434507 [Q8NCW6-1];,KOG3736;ENOG410XPMK;,K00710;,606683at2759;,NA,2.4.1.41;,R-HSA-913709;,
aten_0.1.m1.27437.m1,aten_0.1.m1.27437,7.09E-130,DNJC3_CHICK,blastp,K09523,YES,PF07719.16;PF13414.5;PF00515.27;PF13432.5;PF13428.5;PF14559.5;PF00226.30;PF13181.5;PF13431.5;PF13424.5;PF12895.6;PF13371.5;PF13176.5;PF13174.5;PF14561.5;PF14853.5;PF13374.5;PF12569.7;PF09976.8;PF14863.5;PF04212.17;PF13429.5;PF07721.13;PF10938.7;PF12862.6;PF14276.5;PF03704.16;PF05168.13;PF09613.9;PF00435.20;PF09295.9;PF08286.10;PF07378.10;PF16918.4;PF10602.8;PF07361.10;PF08200.10,Q5ZI13,reviewed,DnaJ homolog subfamily C member 3,DNAJC3 RCJMB04_31h14,Gallus gallus (Chicken),503,9031,NA,GO:0004860; GO:0005737; GO:0005783; GO:0005788; GO:0005829; GO:0006986; GO:0019901; GO:0036494; GO:0043066; GO:0051087; GO:0051603; GO:0051787; GO:0070417; GO:1903912,gga:418787;,418787;,NA,KOG0624;COG0484;,K09523;,1106865at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.24349.m1,aten_0.1.m1.24349,7.94E-42,MFS12_MOUSE,blastp,NA,NA,PF13347.5;PF07690.15;PF14074.5,Q3U481,reviewed,Major facilitator superfamily domain-containing protein 12,Mfsd12,Mus musculus (Mouse),476,10090,NA,GO:0005215; GO:0005887; GO:0008643; GO:0015293; GO:0071702,mmu:73822;,73822;,ENSMUST00000044844;,ENOG410IMQF;ENOG4111I58;,NA,605453at2759;,NA,NA,NA,GO:0005887;GO:0055085;GO:0008643;GO:0015293;GO:0016021
aten_0.1.m1.1568.m1,aten_0.1.m1.1568,4.16E-38,RERG_HUMAN,blastp,K07855,NA,PF00071.21;PF08477.12;PF09455.9;PF12234.7;PF10737.8;PF09384.9;PF03193.15;PF04760.14;PF05205.11;PF01926.22,Q96A58,reviewed,Ras-related and estrogen-regulated growth inhibitor,RERG,Homo sapiens (Human),199,9606,NA,GO:0003924; GO:0005525; GO:0005634; GO:0005829; GO:0007264; GO:0008285; GO:0009725; GO:0016020; GO:0019003; GO:0030308; GO:0030331,hsa:85004;,85004;,ENST00000256953 [Q96A58-1];ENST00000536465 [Q96A58-1];ENST00000538313 [Q96A58-1];ENST00000546331 [Q96A58-2];,KOG0395;COG1100;,K07855;,1384728at2759;,NA,NA,NA,GO:0003924;GO:0005525;GO:0007165;GO:0016020
aten_0.1.m1.3970.m1,aten_0.1.m1.3970,1.18E-10,HSBP1_HUMAN,blastp,NA,NA,PF06825.11;PF16716.4,O75506,reviewed,Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13),HSBP1 HSF1BP,Homo sapiens (Human),76,9606,NA,GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006936; GO:0035987; GO:0042802; GO:0070370; GO:1900034,hsa:3281;,3281;,ENST00000433866;ENST00000570259;,KOG4117;ENOG41122JH;,K19765;,1576489at2759;,NA,NA,R-HSA-3371511;R-HSA-3371568;R-HSA-3371571;,GO:0003714
aten_0.1.m1.15179.m1,aten_0.1.m1.15179,3.02E-14,SSRD_MOUSE,blastp,NA,NA,PF05404.11,Q62186,reviewed,Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta),Ssr4,Mus musculus (Mouse),172,10090,NA,GO:0005784; GO:0016021,mmu:20832;,20832;,ENSMUST00000002090;,KOG4088;ENOG4111GCB;,K04571;,1518302at2759;,NA,NA,NA,GO:0005783;GO:0016021
aten_0.1.m1.2864.m1,aten_0.1.m1.2864,1.22E-62,DHDDS_HUMAN,blastp,K11778,NA,PF01255.18,Q86SQ9,reviewed,Dehydrodolichyl diphosphate synthase complex subunit DHDDS (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Cis-prenyltransferase subunit hCIT) (Epididymis tissue protein Li 189m),DHDDS HDS,Homo sapiens (Human),333,9606,2.5.1.87,GO:0002094; GO:0005783; GO:0005789; GO:0006489; GO:0016094; GO:0045547; GO:1904423,hsa:79947;,79947;,ENST00000236342 [Q86SQ9-1];ENST00000360009 [Q86SQ9-2];ENST00000525682 [Q86SQ9-4];ENST00000526219 [Q86SQ9-3];,KOG1602;COG0020;,K11778;,1362420at2759;,NA,2.5.1.87;,R-HSA-446199;R-HSA-4755609;,GO:0016765
aten_0.1.m1.14252.m1,aten_0.1.m1.14252,9.62E-144,GGT1_PIG,blastp,K18592,NA,PF01019.20,P20735,reviewed,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],GGT1 GGT,Sus scrofa (Pig),568,9823,3.4.19.13; 2.3.2.2; 3.4.19.14,GO:0000048; GO:0002682; GO:0005886; GO:0006520; GO:0006536; GO:0006749; GO:0006750; GO:0006751; GO:0007283; GO:0016021; GO:0019344; GO:0031179; GO:0031638; GO:0032355; GO:0032496; GO:0034612; GO:0036374; GO:0050727; GO:0102953; GO:0103068,ssc:397095;,397095;,NA,KOG2410;COG0405;,K18592;,1419292at2759;,NA,NA,NA,GO:0006751;GO:0036374
aten_0.1.m1.11848.m1,aten_0.1.m1.11848,6.55E-21,LEC3_MEGRO,blastp,K06792,YES,PF09458.9;PF00059.20;PF07648.14;PF00050.20,P07439,reviewed,Lectin BRA-3,NA,Megabalanus rosa (Acorn barnacle),162,6680,NA,GO:0030246,NA,NA,NA,NA,NA,NA,NA,NA,NA,GO:0005515
aten_0.1.m1.28613.m1,aten_0.1.m1.28613,5.57E-07,GBPH_PLAFB,blastp,NA,NA,PF08289.10;PF14348.5,P32072,reviewed,Glycophorin-binding protein-related antigen,GBPH,Plasmodium falciparum (isolate FCBR / Columbia),427,33631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
aten_0.1.m1.14437.m1,aten_0.1.m1.14437,1.01E-26,LITAF_CHICK,blastp,NA,NA,PF10601.8;PF12760.6,Q8QGW7,reviewed,Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (LPS-induced TNF-alpha factor homolog) (Small integral membrane protein of lysosome/late endosome),LITAF SIMPLE,Gallus gallus (Chicken),148,9031,NA,GO:0000139; GO:0001816; GO:0003677; GO:0005125; GO:0005634; GO:0005765; GO:0008270; GO:0009898; GO:0019953; GO:0098559; GO:0098560; GO:0098574,gga:374125;,374125;,NA,ENOG410IVVU;ENOG41122PJ;,K19363;,1564782at2759;,NA,NA,NA,
aten_0.1.m1.16383.m1,aten_0.1.m1.16383,3.25E-91,S15A4_XENLA,blastp,K14638,NA,PF00854.20,Q68F72,reviewed,Solute carrier family 15 member 4 (Peptide transporter 4),slc15a4,Xenopus laevis (African clawed frog),569,8355,NA,GO:0006857; GO:0015031; GO:0015293; GO:0016021,xla:447292;,447292;,NA,NA,K14638;,365203at2759;,NA,NA,NA,GO:0016020;GO:0022857;GO:0055085;GO:0006857
aten_0.1.m1.16839.m1,aten_0.1.m1.16839,2.29E-25,CWC27_HUMAN,blastp,NA,NA,PF01448.23;PF07870.10;PF12722.6,Q6UX04,reviewed,Spliceosome-associated protein CWC27 homolog (Antigen NY-CO-10) (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27) (Serologically defined colon cancer antigen 10),CWC27 SDCCAG10 UNQ438/PRO871,Homo sapiens (Human),472,9606,NA,GO:0000398; GO:0000413; GO:0003755; GO:0005634; GO:0005654; GO:0006457; GO:0071005; GO:0071013,hsa:10283;,10283;,ENST00000381070 [Q6UX04-1];,KOG0885;COG0652;,K12737;,612201at2759;,NA,5.2.1.8;,R-HSA-72163;,
